OBJECTID,SEMEL_YISHUV,SHEM_YISHUV,SHEM_YISHUV_ENGLISH,STAT_2022,YISHUV_STAT_2022,ROVA,TAT_ROVA,COD_TIFKUD,SHAPE_Length,SHAPE_Area
104,70,אשדוד,ASHDOD,432,700432,4,43,1,3833.22193300966,624207.844028707
105,70,אשדוד,ASHDOD,433,700433,4,43,1,3748.8667875888,555575.047434351
106,70,אשדוד,ASHDOD,434,700434,4,43,1,3751.21012391376,525270.43377943
107,70,אשדוד,ASHDOD,511,700511,5,51,1,2156.01264559927,245223.047630569
108,70,אשדוד,ASHDOD,512,700512,5,51,1,1611.98445586006,159255.568222465
109,70,אשדוד,ASHDOD,513,700513,5,51,1,1875.77921700919,200855.33772303
110,70,אשדוד,ASHDOD,514,700514,5,51,1,1835.5668679666,209659.54179466
111,70,אשדוד,ASHDOD,521,700521,5,52,1,1835.22869836845,208371.188357281
112,70,אשדוד,ASHDOD,522,700522,5,52,1,1647.49739268265,132713.116448401
113,70,אשדוד,ASHDOD,523,700523,5,52,1,1903.61817617321,216505.458501415
114,70,אשדוד,ASHDOD,524,700524,5,52,1,2256.7230915194,299450.551143214
115,70,אשדוד,ASHDOD,611,700611,6,61,1,2125.6721698178,275364.137023831
116,70,אשדוד,ASHDOD,612,700612,6,61,1,1892.42295841789,179145.94526938
117,70,אשדוד,ASHDOD,613,700613,6,61,1,2449.9267847772,193915.911928216
118,70,אשדוד,ASHDOD,621,700621,6,62,1,1633.53579064815,136546.728688028
119,70,אשדוד,ASHDOD,622,700622,6,62,1,1632.01906196697,143485.98013938
120,70,אשדוד,ASHDOD,623,700623,6,62,1,3352.76998015862,279647.814179605
121,70,אשדוד,ASHDOD,624,700624,6,62,1,3144.69270647078,212152.296697048
122,70,אשדוד,ASHDOD,631,700631,6,63,6,3639.62496436582,826197.529825431
123,70,אשדוד,ASHDOD,632,700632,6,63,1,2820.93377635942,317430.981038641
124,70,אשדוד,ASHDOD,633,700633,6,63,1,2644.51941913059,311649.834494719
125,70,אשדוד,ASHDOD,711,700711,7,71,1,1975.63515291159,209111.39895252
126,70,אשדוד,ASHDOD,712,700712,7,71,1,2049.20771272325,191489.732299553
127,70,אשדוד,ASHDOD,713,700713,7,71,1,1649.08640254677,153800.079904066
128,70,אשדוד,ASHDOD,714,700714,7,71,1,1971.29222124638,215326.173524208
129,70,אשדוד,ASHDOD,721,700721,7,72,1,2350.90265599631,189790.045207739
130,70,אשדוד,ASHDOD,722,700722,7,72,1,2063.09874763449,292736.220971601
131,70,אשדוד,ASHDOD,723,700723,7,72,1,3600.61216060892,441282.82766312
132,70,אשדוד,ASHDOD,724,700724,7,72,1,1353.76014797896,107493.841179968
133,71,אשבול,ESHBOL,1,710001,,,1,5895.06697594704,1560707.01467731
134,72,גן שמואל,GAN SHEMU'EL,1,720001,,,1,4962.93709513825,926821.605273034
135,74,עין הוד,EN HOD,1,740001,,,1,3022.40237990824,403623.688940778
136,76,כפר גלעדי,KEFAR GIL'ADI,1,760001,,,1,4236.56236274919,1020796.23106026
137,77,איילת השחר,AYYELET HASHAHAR,1,770001,,,1,7689.5126315114,1052731.44740592
138,78,קריית ענבים,QIRYAT ANAVIM,1,780001,,,1,4617.35614927846,548749.803689194
139,79,דגניה ב',DEGANYA BET,1,790001,,,1,4819.13157207472,793214.627906566
140,80,נהלל,NAHALAL,1,800001,,,1,12426.3365448199,7042474.02111285
141,82,עין חרוד (מאוחד),EN HAROD(ME'UHAD),1,820001,,,1,4423.986344069,1022776.48826013
142,84,תל יוסף,TEL YOSEF,1,840001,,,1,3421.34961274034,493052.645889841
143,85,כפר יחזקאל,KEFAR YEHEZQEL,1,850001,,,1,7277.26034316954,2443902.07834812
144,86,גבע,GEVA,1,860001,,,1,3159.11722328393,529188.470540545
145,88,כרם בן שמן,KEREM BEN SHEMEN,1,880001,,,1,1687.53360697789,65393.1956395549
146,89,עין חרוד (איחוד),EN HAROD (IHUD),1,890001,,,1,4269.37921485085,526922.563091089
147,90,חפצי-בה,HEFZI-BAH,1,900001,,,1,3571.13437928847,482524.836767711
148,92,גיניגר,GINNEGAR,1,920001,,,1,3758.0364278314,577399.367675229
149,94,בלפוריה,BALFURYA,1,940001,,,1,4411.09181376983,1081743.33942768
150,95,בית אלפא,BET ALFA,1,950001,,,1,3739.18504023743,612777.089435587
151,96,יגור,YAGUR,1,960001,,,1,5853.95008049478,1408420.52640416
152,97,מרחביה (מושב),MERHAVYA(MOSHAV),1,970001,,,1,6050.24809473315,1799516.72608955
153,98,"כפר מל""ל",KEFAR MALAL,1,980001,,,1,3820.11554070915,583078.614019108
154,99,מצפה רמון,MIZPE RAMON,1,990001,,,1,63800.0745026689,75708027.7370387
155,102,מאיר שפיה,ME'IR SHEFEYA,1,1020001,,,5,3494.87295542073,451146.500726411
156,103,תל עדשים,TEL ADASHIM,1,1030001,,,1,8845.93855167714,3167545.71008128
157,104,מזרע,MIZRA,1,1040001,,,1,4577.70226946457,680654.83169339
158,106,כפר גדעון,KEFAR GID'ON,1,1060001,,,1,3457.06224865882,504970.858763148
159,107,כפר סילבר,KEFAR SILVER,1,1070001,,,5,2624.71594274287,397445.662488665
160,112,כפר חסידים א',KEFAR HASIDIM ALEF,1,1120001,,,1,13888.5945419923,3415885.96867428
161,113,אדירים,ADDIRIM,1,1130001,,,1,3802.12769343575,630908.641896782
162,115,חופית,HOFIT,1,1150001,,,1,4636.79222058479,454184.274409817
163,122,רמת ישי,RAMAT YISHAY,1,1220001,,,1,8192.10642467394,2332290.24887048
164,126,שריד,SARID,1,1260001,,,1,7739.14907083785,2138162.8160288
165,127,רמת רחל,RAMAT RAHEL,1,1270001,,,1,3591.74462665736,743360.779504777
166,128,גת רימון,GAT RIMMON,1,1280001,,,1,3035.93144872285,438958.025656838
167,130,משמר העמק,MISHMAR HAEMEQ,1,1300001,,,1,4180.33435789784,868402.803898999
168,132,כפר ברוך,KEFAR BARUKH,1,1320001,,,1,5339.43460302239,1056815.03347886
169,133,גבת,GEVAT,1,1330001,,,1,5398.80661401665,1765326.91258118
170,134,יפעת,YIF'AT,1,1340001,,,1,5252.05924552176,1483198.01380588
171,135,רמת דוד,RAMAT DAWID,1,1350001,,,1,4840.7284765769,655453.874012049
172,139,עין שמר,EN SHEMER,1,1390001,,,1,3866.37345774082,636661.850308275
173,140,כפר יהושע,KEFAR YEHOSHUA,1,1400001,,,1,13851.8305591867,7511952.68570346
174,141,ברק,BARAQ,1,1410001,,,1,4229.54359452053,863981.379622897
175,142,שדה יעקב,SEDE YA'AQOV,1,1420001,,,1,6530.99074483738,2211474.63009162
176,143,בית זרע,BET ZERA,1,1430001,,,1,3494.79400652936,645427.516729444
177,144,גן שלמה,GAN SHELOMO,1,1440001,,,1,2788.71379228968,354905.766049059
178,145,גדיש,GADISH,1,1450001,,,1,3865.90091098068,640472.356381637
179,146,דבורה,DEVORA,1,1460001,,,1,4503.22517942871,1038140.92597628
180,147,גבעת ברנר,GIV'AT BRENNER,1,1470001,,,1,6595.83441301836,2452824.43399592
181,154,תל מונד,TEL MOND,1,1540001,,,1,3236.43437098796,537306.42350114
182,154,תל מונד,TEL MOND,2,1540002,,,1,3554.60569732868,726514.672693139
183,154,תל מונד,TEL MOND,3,1540003,,,1,3426.40721726129,508341.727406378
184,154,תל מונד,TEL MOND,4,1540004,,,1,4586.53526799144,576951.760904682
185,154,תל מונד,TEL MOND,5,1540005,,,1,3543.06129306328,376961.666674164
186,154,תל מונד,TEL MOND,6,1540006,,,4,16506.1010442008,4403925.93267864
187,155,באר טוביה,BE'ER TOVIYYA,1,1550001,,,1,8553.9239805792,3960202.56910639
188,156,עיינות,AYANOT,1,1560001,,,5,1988.12487543684,257625.725352085
189,157,עין ורד,EN WERED,1,1570001,,,1,7174.09540413801,1835397.10101169
190,158,נען,NA'AN,1,1580001,,,1,4544.22689424324,813821.249084895
191,159,בית חנן,BET HANAN,1,1590001,,,1,5380.49056831919,895822.554048731
192,160,חולדה,HULDA,1,1600001,,,1,3309.18540615615,592351.022492851
193,162,חירות,HERUT,1,1620001,,,1,5243.18021359038,841765.238597041
194,163,תימורים,TIMMORIM,1,1630001,,,1,4257.59605343797,939023.165242004
195,164,מלאה,MELE'A,1,1640001,,,1,3814.77122191515,753955.577073851
196,165,ניר יפה,NIR YAFE,1,1650001,,,1,4627.45325133563,960334.786192114
197,166,גן יבנה,GAN YAVNE,1,1660001,,,1,8553.63487904858,2546297.51177033
198,166,גן יבנה,GAN YAVNE,2,1660002,,,1,3562.66447885192,711643.506684101
199,166,גן יבנה,GAN YAVNE,3,1660003,,,1,6400.38194939462,936215.665725793
200,166,גן יבנה,GAN YAVNE,4,1660004,,,1,3719.03251327351,791236.254280431
201,166,גן יבנה,GAN YAVNE,5,1660005,,,1,2806.66677599283,423783.503754687
202,166,גן יבנה,GAN YAVNE,6,1660006,,,1,7912.13131905434,1480904.85595476
203,166,גן יבנה,GAN YAVNE,7,1660007,,,1,3929.5527369246,698199.332344495
204,166,גן יבנה,GAN YAVNE,8,1660008,,,2,9432.34768184307,1117632.40955858
205,166,גן יבנה,GAN YAVNE,9,1660009,,,4,7372.07438664828,2738784.35877067
206,167,עין החורש,EN HAHORESH,1,1670001,,,1,4036.37221024669,598596.815703045
207,168,כפר יונה,KEFAR YONA,1,1680001,,,4,17562.0195506048,5670124.040952
208,168,כפר יונה,KEFAR YONA,2,1680002,,,1,5774.62703952899,1044800.8216851
209,168,כפר יונה,KEFAR YONA,3,1680003,,,1,3408.52620678743,539847.182907096
210,168,כפר יונה,KEFAR YONA,4,1680004,,,1,3087.53472687741,531832.701453047
211,168,כפר יונה,KEFAR YONA,5,1680005,,,1,3445.80976221303,568571.367660982
212,168,כפר יונה,KEFAR YONA,6,1680006,,,1,2646.03271403809,393749.782455189
213,168,כפר יונה,KEFAR YONA,7,1680007,,,1,3583.78182976028,731719.342428314
214,168,כפר יונה,KEFAR YONA,8,1680008,,,1,2922.90529011731,501618.937894526
215,168,כפר יונה,KEFAR YONA,9,1680009,,,4,6726.10755502247,1528918.8337554
216,170,כפר יעבץ,KEFAR YA'BEZ,1,1700001,,,1,4812.41304507375,1191035.34912755
217,171,פרדסייה,PARDESIYYA,1,1710001,,,1,5456.21817351946,1463737.34920577
218,173,גבעת חיים (מאוחד),GIV'AT HAYYIM(ME'UHAD),1,1730001,,,1,4359.77634813544,984821.99194284
219,174,נטעים,NETA'IM,1,1740001,,,1,3343.01958117233,429043.538803182
220,175,אביחיל,AVIHAYIL,1,1750001,,,1,4539.29187034565,884052.839301688
221,176,אפיקים,AFIQIM,1,1760001,,,1,4478.08129893932,994850.551058689
222,177,"כפר ביל""ו",KEFAR BILU,1,1770001,,,1,5929.77055790889,1198121.17279507
223,178,רמת יוחנן,RAMAT YOHANAN,1,1780001,,,1,4393.04117856228,927039.573810427
224,182,אבן יהודה,EVEN YEHUDA,1,1820001,,,5,3727.29261523432,674280.978003006
225,182,אבן יהודה,EVEN YEHUDA,2,1820002,,,4,4381.46468467257,346087.700594889
226,182,אבן יהודה,EVEN YEHUDA,3,1820003,,,1,5718.86220269056,1084947.2347587
227,182,אבן יהודה,EVEN YEHUDA,4,1820004,,,1,3648.53118195898,754674.547762446
228,182,אבן יהודה,EVEN YEHUDA,5,1820005,,,1,5143.51490587114,1100725.70081416
229,182,אבן יהודה,EVEN YEHUDA,6,1820006,,,4,2920.56369064251,498717.45528392
230,182,אבן יהודה,EVEN YEHUDA,7,1820007,,,1,7011.18570983043,1907490.66304611
231,182,אבן יהודה,EVEN YEHUDA,8,1820008,,,4,7014.64581048502,1472469.97997669
232,182,אבן יהודה,EVEN YEHUDA,9,1820009,,,2,2736.67412244524,302567.236772265
233,183,ירקונה,YARQONA,1,1830001,,,1,4330.90767391811,551365.528095556
234,184,רמת הכובש,RAMAT HAKOVESH,1,1840001,,,1,3296.9795057111,527119.05274769
235,186,נעורים,NE'URIM,1,1860001,,,5,2763.70173799854,339930.232827728
236,187,כפר הס,KEFAR HESS,1,1870001,,,1,5719.15934170379,1542759.2032992
237,188,אשדות יעקב (מאוחד),ASHDOT YA'AQOV(ME'UHAD),1,1880001,,,1,3820.58364126557,616183.771918063
238,189,כפר פינס,KEFAR PINES,1,1890001,,,1,4444.37266144346,968565.659620035
239,190,כפר ויתקין,KEFAR VITKIN,1,1900001,,,1,8279.45648493425,1972849.41394562
240,191,הדר עם,HADAR AM,1,1910001,,,1,3982.75250665803,416064.828050572
241,192,כפר החורש,KEFAR HAHORESH,1,1920001,,,1,3729.6165522696,574832.230962753
242,193,כפר חיים,KEFAR HAYYIM,1,1930001,,,1,3358.68832433539,493473.175011099
243,194,משמר השרון,MISHMAR HASHARON,1,1940001,,,1,2271.82361544385,308182.159593527
244,195,קדימה-צורן,QADIMA-ZORAN,1,1950001,,,1,4622.40836662285,767072.617836308
245,195,קדימה-צורן,QADIMA-ZORAN,2,1950002,,,1,3832.90765146142,460342.4139386
246,195,קדימה-צורן,QADIMA-ZORAN,3,1950003,,,1,15528.3431414009,5708825.05138745
247,195,קדימה-צורן,QADIMA-ZORAN,4,1950004,,,1,5095.56114393976,897936.854354784
248,195,קדימה-צורן,QADIMA-ZORAN,5,1950005,,,1,2999.3475452395,426822.180390677
249,195,קדימה-צורן,QADIMA-ZORAN,6,1950006,,,4,7018.78958940198,2018538.55864134
250,195,קדימה-צורן,QADIMA-ZORAN,7,1950007,,,1,3321.22921842851,337208.231547781
251,196,גיבתון,GIBBETON,1,1960001,,,1,2124.32386881766,271261.338268917
252,197,מעברות,MA'BAROT,1,1970001,,,1,2644.06241881242,359938.840831599
253,198,צופית,ZOFIT,1,1980001,,,1,5599.32828976471,836399.167543451
254,199,אשדות יעקב (איחוד),ASHDOT YA'AQOV(IHUD),1,1990001,,,1,3202.95811997211,477046.299966059
255,200,בית ינאי,BET YANNAY,1,2000001,,,1,2336.3228965427,247380.330431921
256,202,בית עובד,BET OVED,1,2020001,,,1,1813.02137505351,191792.532351768
257,204,אלישיב,ELYASHIV,1,2040001,,,1,2511.65618744852,289285.332899808
258,205,חגלה,HOGLA,1,2050001,,,1,3569.2359596938,575813.58886041
259,206,רמות השבים,RAMOT HASHAVIM,1,2060001,,,1,6909.87003875999,1219918.62177361
260,207,"גבעת ח""ן",GIV'AT HEN,1,2070001,,,1,4558.2960959286,541323.574067591
261,208,מוצא עילית,MOZA ILLIT,1,2080001,,,1,3356.83970728961,548108.710558275
262,212,בית צבי,BET ZEVI,1,2120001,,,5,2379.89305877609,181056.338903996
263,213,משמרות,MISHMAROT,1,2130001,,,1,3687.46746428572,493283.256278563
264,217,"כפר הרא""ה",KEFAR HARO'E,1,2170001,,,1,4776.03205866628,650996.884330444
265,218,גני עם,GANNE AM,1,2180001,,,1,2935.11684031416,348747.295040868
266,219,חיבת ציון,HIBBAT ZIYYON,1,2190001,,,1,3486.15274892113,437179.86235902
267,220,כפר ביאליק,KEFAR BIALIK,1,2200001,,,1,5508.77653854611,848736.873353874
268,223,עין עירון,EN IRON,1,2230001,,,1,4099.77741400796,518581.640673081
269,224,שושנת העמקים,SHOSHANNAT HAAMAQIM,1,2240001,,,1,1058.26596376423,60259.6951530972
270,225,גן השומרון,GAN HASHOMERON,1,2250001,,,1,6385.90850154102,944206.190940064
271,229,גני תקווה,GANNE TIQWA,1,2290001,,,4,2528.86918311442,317336.341135061
272,229,גני תקווה,GANNE TIQWA,2,2290002,,,1,2390.07679851259,246075.493653899
273,229,גני תקווה,GANNE TIQWA,3,2290003,,,1,2684.6831292801,290923.839088247
274,229,גני תקווה,GANNE TIQWA,4,2290004,,,1,1752.41237456272,126912.970848666
275,229,גני תקווה,GANNE TIQWA,5,2290005,,,1,4299.87035447566,974525.3817179
276,229,גני תקווה,GANNE TIQWA,6,2290006,,,1,2257.94270820504,202109.568630316
277,230,מעש,MA'AS,1,2300001,,,1,5107.53907624924,935344.740268782
278,232,שפיים,SHEFAYIM,1,2320001,,,1,6984.23562788559,1064042.32903972
279,233,כפר ידידיה,KEFAR YEDIDYA,1,2330001,,,1,4542.10028782268,600098.690392342
280,234,ביצרון,BIZZARON,1,2340001,,,1,10986.4733347174,3937272.80393711
281,235,חבצלת השרון,HAVAZZELET HASHARON,1,2350001,,,1,2880.93610308715,370000.634809649
282,237,שער העמקים,SHA'AR HAAMAQIM,1,2370001,,,1,5084.48001592331,1030113.26309693
283,239,גן חיים,GAN HAYYIM,1,2390001,,,1,4783.01992202169,714878.0863274
284,240,יקנעם עילית,YOQNE'AM ILLIT,1,2400001,,,1,7085.13020709279,1197661.1985958
285,240,יקנעם עילית,YOQNE'AM ILLIT,2,2400002,,,2,15059.0323892898,2223885.08136824
286,240,יקנעם עילית,YOQNE'AM ILLIT,3,2400003,,,1,3175.71446969795,294584.386381683
287,240,יקנעם עילית,YOQNE'AM ILLIT,4,2400004,,,1,5158.69365128983,1124225.47652438
288,240,יקנעם עילית,YOQNE'AM ILLIT,5,2400005,,,1,4276.6994295624,858284.241814738
289,240,יקנעם עילית,YOQNE'AM ILLIT,6,2400006,,,1,3794.70441498267,818695.981777785
290,240,יקנעם עילית,YOQNE'AM ILLIT,7,2400007,,,1,5495.72437072396,1087396.84384195
291,240,יקנעם עילית,YOQNE'AM ILLIT,8,2400008,,,1,3970.38755307136,706632.207747368
292,241,יקנעם (מושבה),YOQNE'AM(MOSHAVA),1,2410001,,,1,7671.82047478533,1490088.57526604
293,242,בית השיטה,BET HASHITTA,1,2420001,,,1,5705.81595083742,1139259.18919208
294,246,נתיבות,NETIVOT,11,2460011,,1,1,2234.47060852842,291611.7274642
295,246,נתיבות,NETIVOT,12,2460012,,1,1,3168.00821216854,350584.813944388
296,246,נתיבות,NETIVOT,13,2460013,,1,1,3810.67584163633,605216.466661184
297,246,נתיבות,NETIVOT,14,2460014,,1,1,2530.5584053615,282134.055001089
298,246,נתיבות,NETIVOT,15,2460015,,1,1,3067.2295160152,484977.518314449
299,246,נתיבות,NETIVOT,16,2460016,,1,2,9084.87722816147,1181519.89306494
300,246,נתיבות,NETIVOT,17,2460017,,1,2,9244.02390933025,3454233.89950191
301,246,נתיבות,NETIVOT,21,2460021,,2,1,3433.04429555245,558729.334351897
302,246,נתיבות,NETIVOT,22,2460022,,2,1,3197.08845666776,514901.049806851
303,246,נתיבות,NETIVOT,23,2460023,,2,1,2883.14819347745,493738.348594638
304,246,נתיבות,NETIVOT,24,2460024,,2,2,6924.99104634673,1304042.25987579
305,246,נתיבות,NETIVOT,31,2460031,,3,1,5129.57546460489,781644.781811159
306,246,נתיבות,NETIVOT,32,2460032,,3,4,9846.44689748807,4324759.52319065
307,246,נתיבות,NETIVOT,33,2460033,,3,1,2576.48256008972,309856.314740838
