SEMEL_YISHUV,CITY_NAME,N_COMMUTERS,Private car - driver,Private car - passenger,Public bus,Light rail / metro,Employer transport,Israel Railways,Service taxi,Special taxi,Motorcycle / moped,Bicycle,Walking,Truck,Other vehicle
489,"DABURIYYA",4164,73.997,5.917,4.333,0.133,6.139,0.0,0.312,0.0,0.274,0.27,4.22,4.261,0.144
490,"DEIR AL-ASAD",4701,64.796,9.512,3.848,0.076,12.367,0.764,0.0,0.052,0.455,0.142,7.399,0.067,0.521
492,"DEIR HANNA",3902,69.33,5.31,3.567,0.481,14.196,0.565,0.0,0.086,0.0,0.0,5.562,0.193,0.711
494,"DALIYAT AL-KARMEL",7149,65.72,5.611,9.872,0.26,10.907,0.81,0.168,0.064,0.328,0.0,4.868,0.649,0.742
496,"HURFEISH",2366,69.574,6.022,5.31,0.0,8.832,0.741,0.0,0.0,0.93,0.0,7.913,0.403,0.274
498,"TUR'AN",5121,63.651,5.636,3.078,0.131,17.743,0.0,0.057,0.0,0.229,0.0,6.9,2.334,0.24
499,"YAFI",6995,64.256,9.104,6.216,0.0,12.446,0.076,0.15,0.11,0.441,0.093,5.845,0.946,0.316
502,"YIRKA",5620,74.595,7.785,3.189,0.0,5.268,0.915,0.135,0.299,0.0,0.0,6.74,0.824,0.25
504,"KABUL",4506,68.481,7.623,3.619,0.0,12.551,0.216,0.082,0.123,0.0,0.0,5.975,1.111,0.219
505,"KAOKAB ABU AL-HIJA",1476,73.283,9.196,3.154,0.0,6.468,0.0,0.0,0.0,0.0,0.0,6.504,0.354,1.041
507,"KAFAR YASIF",4478,74.887,5.023,1.756,0.272,9.096,0.388,0.255,0.0,0.408,0.335,6.973,0.135,0.471
508,"KAFAR KAMA",1492,71.853,4.287,1.02,0.0,11.555,0.0,0.0,0.0,0.0,0.334,9.358,0.75,0.844
509,"KAFAR KANNA",8137,64.134,7.33,4.367,0.186,15.428,0.074,0.162,0.0,0.095,0.0,7.002,1.031,0.191
510,"KAFAR MANDA",6638,58.674,9.322,3.351,0.097,19.316,0.211,0.219,0.067,0.108,0.093,7.142,0.707,0.694
511,"ILUT",2756,60.16,11.785,4.213,0.0,15.274,0.0,0.0,0.703,0.0,0.0,6.264,1.259,0.341
516,"MAJD AL-KURUM",6084,65.925,6.151,4.993,0.061,10.105,0.179,0.163,0.048,0.469,0.923,8.617,0.816,1.55
517,"MAZRA'A",1666,60.901,7.568,3.841,0.495,8.843,0.384,0.633,0.0,1.405,1.2,11.002,3.214,0.514
518,"MI'ELYA",1475,83.356,2.443,2.84,0.0,3.363,0.734,0.0,0.0,0.672,0.0,5.951,0.343,0.298
520,"MESHHED",2772,58.495,10.274,5.395,0.0,12.398,0.365,0.408,0.342,0.0,0.0,9.249,2.123,0.952
522,"NAHEF",4932,61.61,8.918,6.393,0.0,14.703,0.858,0.245,0.382,0.416,0.0,6.004,0.123,0.348
525,"SAJUR",1511,71.063,5.571,7.044,1.242,7.2,1.143,0.645,0.867,0.423,0.0,3.053,0.347,1.402
529,"I'BILLIN",5689,70.721,8.182,6.255,0.162,7.028,0.146,0.585,0.358,0.196,0.0,5.042,1.109,0.214
530,"EILABUN",2157,74.748,4.365,3.309,0.261,7.65,0.263,0.0,0.0,1.13,0.0,7.621,0.173,0.48
531,"ARRABE",8785,69.687,6.827,2.952,0.0,13.744,0.183,0.098,0.041,0.258,0.0,5.639,0.182,0.39
532,"EIN MAHEL",5098,60.962,10.147,6.577,0.0,15.664,0.092,0.934,0.196,0.235,0.0,4.098,0.577,0.519
534,"ISIFYA",5215,69.331,6.075,9.107,0.086,7.394,0.16,0.092,0.594,0.151,0.0,5.229,1.174,0.606
535,"FASSUTA",1693,75.348,5.307,2.256,0.0,6.474,0.0,0.266,0.932,0.0,0.0,8.534,0.248,0.635
536,"PEQI'IN (BUQEI'A)",2522,69.739,7.557,1.751,0.0,8.859,0.444,0.0,1.025,0.209,0.0,9.738,0.133,0.545
537,"FUREIDIS",5492,59.165,16.713,7.141,0.077,9.168,0.08,0.0,0.154,0.222,0.116,5.74,1.233,0.19
538,"SHA'AB",2716,66.224,6.577,1.126,0.0,17.081,0.0,0.0,0.0,0.0,0.0,7.566,1.023,0.404
541,"JISR AZ-ZARQA",5364,40.052,6.46,27.107,0.442,18.124,0.66,0.599,0.141,0.0,0.218,4.832,1.029,0.336
542,"REINE",6373,62.016,10.989,5.214,0.128,15.084,0.0,0.165,0.049,0.095,0.093,5.25,0.781,0.134
543,"RAME",3654,70.257,4.649,7.104,0.617,7.906,1.393,0.189,0.0,0.0,0.0,7.332,0.337,0.217
565,"AZOR",5676,71.206,2.203,13.022,0.0,1.106,0.632,0.206,0.668,4.334,0.991,4.399,0.836,0.397
587,"SAVYON",1576,89.267,3.104,1.829,0.0,0.555,0.284,0.281,0.0,2.579,0.211,1.472,0.0,0.419
627,"JALJULYE",3640,63.804,6.549,5.832,0.783,9.585,0.0,0.101,0.165,0.39,0.2,8.182,2.113,2.297
628,"JATT",5007,77.531,6.827,4.7,0.196,5.457,0.465,0.0,0.0,0.124,0.0,2.597,1.917,0.185
633,"KAFAR BARA",1410,73.866,5.353,4.762,0.0,3.944,0.428,0.474,0.0,0.0,0.0,9.361,1.813,0.0
634,"KAFAR QASEM",9652,66.539,5.648,4.739,0.124,8.567,0.586,0.335,0.366,0.231,0.0,6.46,5.251,1.155
637,"AR'ARA",7773,69.312,6.983,5.855,0.0,11.421,0.23,0.193,0.0,0.466,0.0,4.171,0.542,0.827
638,"QALANSAWE",8448,66.451,6.359,7.852,0.0,9.293,0.458,0.0,0.158,0.126,0.254,7.062,1.556,0.43
654,"KAFAR QARA",7506,77.327,7.802,3.489,0.089,6.881,0.259,0.183,0.0,0.165,0.0,2.387,0.78,0.638
666,"OMER",3308,85.983,3.768,2.429,0.111,3.941,0.578,0.0,0.299,0.0,0.334,2.323,0.0,0.234
681,"GIV'AT SHEMU'EL",11188,71.141,2.114,13.639,0.103,0.885,0.113,0.0,0.45,2.524,1.358,7.359,0.0,0.314
812,"SHELOMI",3163,68.613,4.819,7.919,0.546,7.452,1.302,0.0,0.267,1.401,0.0,5.213,0.609,1.861
831,"YEROHAM",4323,52.024,3.384,13.66,0.209,13.582,0.243,0.219,0.143,0.117,1.419,13.248,0.305,1.447
874,"MIGDAL HAEMEQ",11392,56.659,4.49,17.328,0.045,12.018,0.482,0.0,0.102,0.373,0.44,6.952,0.674,0.437
913,"SHIBLI-UMM AL-GHANAM",2374,64.986,5.922,5.833,0.0,7.814,0.0,0.0,0.631,0.295,0.0,6.598,7.677,0.245
922,"REKHASIM",3607,36.188,7.558,27.577,0.102,9.646,0.197,0.065,0.32,0.105,0.063,17.646,0.207,0.326
944,"BASMAT TAB'UN",3170,71.014,3.903,6.952,0.0,8.187,0.0,0.436,0.0,0.0,0.0,7.81,1.281,0.416
962,"TUBA-ZANGARIYYE",2576,68.748,7.511,5.033,0.0,8.621,0.0,0.0,0.411,0.0,0.0,3.269,6.407,0.0
975,"ZARZIR",3036,75.787,6.347,3.531,0.0,8.774,0.0,0.412,0.0,0.0,0.0,2.515,2.308,0.327
978,"KA'ABIYYE-TABBASH-HAJAJRE",1929,74.006,5.084,5.04,0.0,6.253,0.0,0.365,0.0,0.0,0.0,4.303,3.627,1.322
998,"BIR EL-MAKSUR",3488,66.793,6.76,3.239,0.0,13.856,0.0,0.563,0.0,0.174,0.0,4.554,3.693,0.368
1015,"MEVASSERET ZIYYON",11246,79.599,2.368,11.267,0.023,1.488,0.027,0.081,0.181,0.685,0.167,3.33,0.107,0.678
1020,"OR AQIVA",9639,65.874,3.959,10.574,0.051,5.78,3.19,0.0,0.086,0.449,0.825,7.546,1.156,0.51
1031,"SEDEROT",13489,62.961,4.59,12.409,0.071,7.343,2.15,0.125,0.543,0.796,0.675,6.936,0.747,0.652
1034,"QIRYAT MAL'AKHI",9744,56.381,5.534,11.682,0.052,9.892,0.454,0.21,0.145,0.259,0.688,12.99,0.996,0.717
1054,"TEL SHEVA",3752,60.14,3.586,6.641,0.161,7.148,0.0,1.261,0.0,0.239,0.0,15.832,4.09,0.901
1059,"KUSEIFE",4537,49.346,4.614,17.294,0.0,14.897,0.0,0.0,0.0,0.0,0.0,13.381,0.0,0.468
1060,"LAQYE",2945,53.585,7.495,6.611,0.092,13.479,0.0,0.0,0.0,0.0,0.0,17.63,1.11,0.0
1061,"NOF HAGALIL",18697,58.771,3.517,16.829,0.074,14.868,0.039,0.08,0.102,0.282,0.035,4.702,0.419,0.282
1063,"MA'ALOT-TARSHIHA",10101,64.943,4.391,8.499,0.089,12.0,1.168,0.0,0.198,0.715,0.108,7.538,0.118,0.232
1066,"BENE AYISH",3171,70.832,3.15,10.752,0.0,3.76,0.4,0.0,0.0,0.627,0.553,8.408,1.519,0.0
1137,"QIRYAT YE'ARIM",1842,45.682,4.26,31.77,0.0,1.238,0.0,0.0,0.0,0.0,0.312,16.512,0.0,0.227
1139,"KARMI'EL",20830,59.977,2.941,13.496,0.152,15.315,1.367,0.164,0.441,0.543,0.197,5.024,0.223,0.16
1161,"RAHAT",16900,57.432,14.758,5.596,0.248,16.453,0.04,0.092,0.101,0.015,0.0,3.23,1.817,0.218
1192,"AR'ARA-BANEGEV",2370,59.866,5.818,3.581,0.0,11.969,0.0,2.517,9.634,0.0,0.0,5.981,0.635,0.0
1200,"MODI'IN-MAKKABBIM-RE'UT",39454,79.465,2.345,8.07,0.113,1.482,2.874,0.076,0.264,0.71,0.304,3.792,0.161,0.344
1224,"KOKHAV YA'IR",4015,87.227,2.422,3.337,0.0,0.466,0.631,0.196,0.292,1.345,0.786,2.812,0.0,0.486
1247,"HARISH",11965,72.362,3.137,10.086,0.077,2.592,1.84,0.04,0.065,1.144,0.651,6.892,0.792,0.323
1263,"KEFAR WERADIM",2229,84.828,1.348,4.847,0.192,4.537,1.328,0.0,0.0,0.0,0.379,2.541,0.0,0.0
1268,"METAR",4695,83.361,3.022,2.554,0.149,5.857,0.7,0.161,0.0,0.397,0.064,3.555,0.0,0.181
1271,"LEHAVIM",3249,83.19,1.063,2.784,0.0,4.964,4.282,0.0,0.078,0.12,0.0,3.36,0.0,0.159
1286,"SEGEV-SHALOM",2576,58.48,4.149,2.589,0.0,11.267,0.0,4.018,0.627,0.096,0.0,18.225,0.551,0.0
1290,"ZEMER",3139,70.079,11.246,4.728,0.0,5.173,0.0,0.0,0.0,0.0,0.0,5.159,2.57,1.044
1292,"JUDEIDE-MAKER",7597,69.692,6.857,4.376,0.102,10.735,0.539,0.833,0.0,0.166,0.219,5.473,0.469,0.539
1295,"YANUH-JAT",2668,65.841,6.603,5.407,0.284,10.875,0.803,0.0,0.0,0.192,0.0,8.722,1.273,0.0
1296,"KISRA-SUMEI",2949,60.246,5.586,3.275,0.142,17.576,1.011,0.0,0.0,0.289,0.0,10.371,0.786,0.718
1303,"HURA",3838,61.09,7.606,4.724,0.0,5.524,0.0,1.895,0.0,0.0,0.0,19.021,0.141,0.0
1304,"SHOHAM",9709,82.439,2.627,7.229,0.0,1.837,0.223,0.084,0.14,0.873,0.223,3.674,0.201,0.451
1309,"EL'AD",13401,38.29,3.351,35.775,0.026,2.794,0.081,0.036,0.123,0.821,0.364,17.926,0.222,0.19
1326,"BASMA",3945,63.793,9.037,9.345,0.092,9.991,0.536,0.092,0.165,0.0,0.099,6.271,0.444,0.135
1327,"MA'ALE IRON",5153,60.728,7.066,4.777,0.129,19.021,0.104,0.39,0.0,0.067,0.0,4.99,1.423,1.305
2034,"HAZOR HAGELILIT",3983,62.466,5.003,8.386,0.212,5.31,0.069,0.0,0.893,0.281,0.63,15.344,1.01,0.397
2100,"TIRAT KARMEL",12828,61.108,3.626,20.238,0.427,5.057,1.393,0.08,0.334,0.312,0.392,6.346,0.38,0.307
2200,"DIMONA",15161,45.08,3.509,16.482,0.063,25.207,0.291,1.199,0.662,0.16,0.138,6.4,0.467,0.343
2300,"QIRYAT TIV'ON",7041,83.071,1.873,6.22,0.059,1.782,1.084,0.0,0.228,0.748,0.9,3.975,0.061,0.0
2400,"OR YEHUDA",16332,61.623,3.452,18.932,0.076,2.51,0.056,0.582,0.372,2.918,0.9,7.761,0.463,0.355
2500,"NESHER",10903,70.097,1.754,16.72,0.073,4.47,0.891,0.104,0.329,0.686,0.124,4.22,0.324,0.208
2530,"BE'ER YA'AQOV",12897,78.933,2.285,5.14,0.252,2.297,2.867,0.255,0.584,1.408,0.223,4.844,0.399,0.513
2550,"GEDERA",11997,82.442,2.833,4.521,0.0,2.506,0.921,0.046,0.028,0.486,0.241,4.281,0.914,0.781
2560,"ARAD",9720,39.647,3.812,16.848,0.0,16.695,0.141,0.119,0.308,0.194,0.538,20.712,0.457,0.528
2600,"ELAT",26014,57.312,4.939,9.541,0.049,9.144,0.024,0.955,2.303,2.091,1.755,10.214,0.407,1.268
2610,"BET SHEMESH",37541,39.469,3.708,37.543,0.16,4.823,0.745,0.227,0.306,0.361,0.263,11.718,0.338,0.338
2620,"QIRYAT ONO",17514,78.018,1.718,8.985,0.025,0.844,0.057,0.141,0.195,3.185,0.754,5.385,0.242,0.453
2630,"QIRYAT GAT",24759,54.11,4.22,13.035,0.253,13.707,2.198,0.188,0.509,0.321,0.444,9.567,0.984,0.467
2640,"ROSH HAAYIN",33027,78.606,2.75,9.737,0.058,1.25,0.791,0.009,0.038,1.917,0.438,3.258,0.554,0.593
2650,"RAMAT HASHARON",18411,79.6,1.84,6.861,0.049,0.535,0.338,0.186,0.506,2.853,1.105,5.761,0.029,0.337
2660,"YAVNE",23444,71.279,2.849,11.071,0.14,3.015,3.075,0.083,0.084,1.118,0.51,5.649,0.666,0.461
2710,"UMM AL-FAHM",19264,61.522,7.836,9.192,0.035,13.049,0.069,0.384,0.161,0.435,0.25,6.026,0.681,0.36
2720,"TIRE",10825,75.719,4.778,4.157,0.0,6.133,0.192,0.134,0.459,0.154,0.285,5.585,1.887,0.516
2730,"TAYIBE",17075,67.221,6.497,8.125,0.0,9.977,0.0,0.401,0.664,0.2,0.247,4.835,1.337,0.496
2800,"QIRYAT SHEMONA",10537,67.295,6.342,6.774,0.1,9.699,0.0,0.175,0.379,0.323,0.424,7.248,0.366,0.875
3000,"JERUSALEM",296429,47.665,3.662,27.042,2.199,5.187,0.644,0.332,0.358,1.205,0.863,10.083,0.348,0.412
3557,"QEDUMIM",1474,75.913,4.767,7.137,0.0,2.676,0.0,0.54,0.0,0.878,0.586,6.611,0.0,0.892
3560,"ELQANA",1739,87.239,1.413,2.73,0.694,0.211,1.643,0.154,0.0,0.756,0.6,3.785,0.308,0.467
3570,"ARI'EL",10590,65.493,4.04,17.225,0.024,4.718,0.135,0.016,0.234,0.311,0.314,6.564,0.656,0.27
3574,"BET EL",1996,46.231,3.178,17.83,0.0,2.753,0.0,0.0,0.0,0.166,1.726,26.599,1.209,0.309
3608,"MA'ALE EFRAYIM",583,59.309,5.564,5.6,1.136,12.8,0.0,0.0,0.0,0.345,0.0,14.76,0.487,0.0
3611,"QIRYAT ARBA",3119,46.485,3.667,21.836,0.825,2.94,0.0,0.0,0.0,0.435,0.616,21.667,0.115,1.414
3616,"MA'ALE ADUMMIM",16162,64.842,3.1,22.62,0.284,3.72,0.055,0.23,0.086,0.837,0.058,3.425,0.27,0.471
3640,"QARNE SHOMERON",4065,73.891,3.288,8.793,0.21,3.676,0.137,0.0,0.0,0.642,0.525,8.45,0.305,0.083
3650,"EFRAT",4029,74.061,3.891,11.947,0.23,2.575,0.083,0.0,0.01,1.019,0.082,5.959,0.0,0.142
3652,"BET ARYE-OFARIM",2360,87.532,1.691,1.909,0.092,1.283,0.265,0.0,0.554,1.045,0.123,4.559,0.709,0.238
3660,"IMMANU'EL",1442,39.833,4.802,19.013,0.0,11.123,0.0,0.0,0.333,0.0,0.0,22.171,1.675,1.049
3730,"GIV'AT ZE'EV",7373,67.367,2.742,21.517,0.242,2.242,0.28,0.27,0.05,0.709,0.149,3.884,0.302,0.244
3750,"ALFE MENASHE",3431,86.204,2.029,5.044,0.0,2.659,0.328,0.227,0.0,1.82,0.0,1.687,0.0,0.0
3760,"ORANIT",4392,87.43,2.71,2.308,0.0,1.196,1.068,0.0,0.101,1.648,0.236,2.676,0.31,0.318
3769,"HAR ADAR",1913,90.274,2.29,5.488,0.0,0.174,0.0,0.0,0.0,0.371,0.0,1.404,0.0,0.0
3780,"BETAR ILLIT",16137,23.527,2.594,60.297,0.087,2.32,0.027,0.081,0.277,0.39,0.05,10.085,0.101,0.163
3797,"MODI'IN ILLIT",16103,19.481,4.07,51.981,0.0,2.916,0.272,0.219,0.192,0.08,0.254,20.217,0.07,0.248
4000,"HAIFA",121294,60.938,2.766,21.116,1.244,3.848,1.9,0.146,0.204,0.672,0.333,6.337,0.178,0.316
4001,"BUQ'ATA",2596,63.994,8.99,1.873,0.424,17.298,0.0,0.0,0.145,0.0,0.0,6.745,0.204,0.327
4100,"QAZRIN",3216,68.461,4.603,6.673,0.0,7.447,0.0,0.0,0.865,1.135,1.352,7.844,1.053,0.566
4201,"MAJDAL SHAMS",4545,69.986,7.575,1.658,0.303,9.786,0.0,0.0,0.261,0.119,0.071,8.906,0.455,0.879
4203,"MAS'ADE",1549,64.137,6.282,3.299,0.585,17.8,0.0,0.0,0.0,0.306,0.0,7.271,0.319,0.0
4501,"GHAJAR",972,58.774,10.73,5.052,0.0,15.957,0.0,0.0,0.0,0.0,0.0,9.487,0.0,0.0
4502,"EIN QINIYYE",944,69.122,7.681,3.535,0.0,9.418,0.0,0.0,0.0,0.0,0.0,8.52,1.259,0.464
5000,"TEL AVIV - YAFO",223633,46.094,1.491,22.448,0.09,1.297,0.876,0.203,0.646,5.175,7.82,11.939,0.177,1.743
6000,"BAQA AL-GHARBIYYE",11611,71.313,5.846,4.542,0.194,9.175,0.401,0.0,0.0,0.403,0.241,5.245,1.555,1.086
6100,"BENE BERAQ",53941,20.574,2.565,41.444,0.104,2.545,0.061,0.241,0.384,1.242,1.517,28.602,0.158,0.563
6200,"BAT YAM",56046,46.133,2.282,32.956,0.193,3.243,1.344,0.159,0.413,2.965,1.294,8.009,0.312,0.697
6300,"GIV'ATAYIM",27191,57.426,1.691,16.744,0.0,0.837,0.691,0.341,0.507,6.166,4.067,10.389,0.058,1.085
6400,"HERZLIYYA",44322,75.212,2.098,9.174,0.086,0.752,1.482,0.087,0.3,2.722,1.813,5.75,0.106,0.417
6500,"HADERA",44664,65.709,3.411,12.348,0.159,6.342,3.4,0.2,0.183,1.031,0.821,5.846,0.363,0.188
6600,"HOLON",84130,59.117,2.536,23.742,0.067,2.198,0.899,0.12,0.407,3.296,1.348,5.274,0.375,0.621
6700,"TIBERIAS",17684,56.665,4.575,20.409,0.0,8.361,0.155,0.108,0.307,0.895,0.228,7.402,0.539,0.355
6800,"QIRYAT ATTA",26139,67.468,2.911,15.381,1.746,5.673,0.628,0.098,0.151,0.552,0.227,3.991,0.667,0.506
6900,"KEFAR SAVA",41162,74.902,2.356,9.899,0.09,1.111,1.518,0.037,0.08,1.44,1.428,6.679,0.214,0.247
7000,"LOD",32720,56.169,3.825,17.971,0.137,8.586,2.459,0.237,0.278,0.503,0.533,7.846,0.958,0.498
7100,"ASHQELON",63139,61.367,3.921,14.634,0.123,10.206,1.955,0.127,0.404,0.445,0.579,5.287,0.497,0.455
7200,"NES ZIYYONA",20172,79.424,2.166,6.633,0.064,2.284,1.463,0.063,0.286,1.283,0.673,5.289,0.196,0.175
7300,"NAZARETH",28010,63.123,7.483,8.129,0.158,12.866,0.199,0.164,0.152,0.329,0.145,6.344,0.444,0.465
7400,"NETANYA",90236,58.746,2.969,19.623,0.105,3.776,1.817,0.847,0.363,1.516,0.97,8.343,0.373,0.552
7500,"SAKHNIN",12642,71.117,7.866,2.419,0.08,11.829,0.186,0.161,0.093,0.022,0.085,5.163,0.243,0.737
7600,"AKKO",20944,57.408,3.695,13.042,0.573,9.795,2.292,0.309,0.627,0.627,1.357,9.274,0.74,0.261
7700,"AFULA",24845,59.291,3.359,13.91,0.096,12.23,0.672,0.279,0.178,0.441,0.545,8.042,0.685,0.272
7800,"PARDES HANNA-KARKUR",17580,74.562,2.334,8.437,0.127,2.42,5.413,0.06,0.08,0.543,0.948,3.993,0.465,0.618
7900,"PETAH TIQWA",110500,63.765,2.316,20.334,0.062,1.854,0.581,0.096,0.339,2.302,1.288,6.285,0.235,0.544
8000,"ZEFAT",10994,54.774,4.482,18.285,0.095,6.562,0.0,0.156,0.786,0.145,0.155,13.892,0.36,0.309
8200,"QIRYAT MOTZKIN",21551,63.747,2.828,14.486,3.593,5.358,1.7,0.158,0.312,0.791,0.905,5.391,0.239,0.493
8300,"RISHON LEZIYYON",115309,68.99,2.606,16.014,0.061,2.774,0.741,0.149,0.341,1.909,0.548,5.071,0.292,0.504
8400,"REHOVOT",62064,68.221,2.678,12.85,0.114,2.389,2.263,0.066,0.241,1.298,1.196,7.931,0.4,0.353
8500,"RAMLA",32312,62.81,4.156,13.991,0.19,8.243,1.393,0.771,0.374,0.718,0.52,5.403,0.934,0.497
8600,"RAMAT GAN",77367,55.945,1.698,22.376,0.063,0.919,0.536,0.212,0.412,5.054,3.402,7.938,0.092,1.353
8700,"RA'ANNANA",30034,76.431,2.18,8.17,0.068,0.675,1.253,0.128,0.238,1.535,1.485,7.099,0.201,0.535
8800,"SHEFAR'AM",16182,69.393,7.199,5.642,0.099,9.678,0.224,0.099,0.17,0.333,0.183,5.31,1.26,0.411
8900,"TAMRA",13062,70.601,7.749,6.805,0.075,8.467,0.077,0.074,0.026,0.371,0.098,4.696,0.772,0.189
9000,"BE'ER SHEVA",94154,55.948,4.075,18.088,0.052,12.248,1.251,0.246,0.279,0.429,0.812,5.633,0.216,0.724
9100,"NAHARIYYA",27364,60.604,2.89,8.195,0.381,9.553,3.551,0.341,0.472,0.959,2.182,10.197,0.466,0.208
9200,"BET SHE'AN",8017,60.174,3.95,9.421,0.0,14.61,1.183,0.0,0.263,0.387,0.805,7.291,0.855,1.059
9300,"ZIKHRON YA'AQOV",8730,74.582,3.044,7.308,0.116,2.429,4.897,0.0,0.097,0.531,0.121,6.344,0.097,0.435
9400,"YEHUD",13716,76.33,2.905,8.221,0.0,1.155,0.028,0.397,0.458,2.48,0.849,6.862,0.226,0.089
9500,"QIRYAT BIALIK",18901,65.673,2.949,14.749,3.868,5.315,1.05,0.036,0.043,0.593,0.63,4.576,0.368,0.149
9600,"QIRYAT YAM",16602,51.139,2.949,25.315,2.764,8.939,1.056,0.257,0.36,0.856,0.593,5.024,0.525,0.223
9700,"HOD HASHARON",27496,80.784,2.29,6.567,0.132,0.715,1.411,0.059,0.263,2.016,1.044,4.006,0.27,0.444
9800,"BINYAMINA-GIV'AT ADA",6076,72.072,1.398,6.345,0.513,2.63,9.13,0.137,0.067,1.515,1.424,4.354,0.181,0.235
9999,"?",381415,76.619,2.889,4.737,0.104,2.339,0.968,0.08,0.157,0.748,1.649,8.255,0.565,0.89
